0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.18162072,0.17648132,-0.47394887,-0.28159916,0.3522695,-0.42278346,0.15559632,0.4305209,-0.04802614,-0.072691254,0.71777064,-0.07345822,-0.06698338,-0.4022679,-0.39377615,0.28822666,-0.5102365,-0.033488803,0.0397641,0.2514697,0.34582037,-0.3466431,-0.24895374,-0.78045774,0.088697046,-0.7793695,0.4531923,0.06559515,-0.3734764,-0.37718105,-0.46302935,-0.04408542,-0.17959349,0.2540322,-0.4093092,0.064816765,-0.25485617,0.4315405,0.059295554,-0.39746258,0.081936836,-0.4131621,0.09558,-0.0015922502,0.27051654,0.32223347,0.044815272,0.054262362,0.17377067,0.39043832
0.07036095,-0.17565644,-0.028483357,-0.31094313,-0.08088399,0.10330806,-0.077404365,-0.08221651,-0.023223277,0.042261716,0.099388026,-0.27549267,-0.08674789,0.10347594,-0.28058934,-0.19971913,0.051155236,-0.16443938,-0.030241476,-0.08615797,0.092679314,-0.26130167,-0.30456597,0.079148784,-0.13452026,0.08442951,0.1282052,0.07648479,-0.27454963,0.075390026,0.11357792,-0.001419584,0.0896465,-0.14091444,-0.18024504,-0.074075416,-0.056982715,0.19315858,-0.09154142,0.027085517,0.14104721,-0.15594788,0.08471702,0.053687572,0.10310378,0.03857161,0.10043558,-0.2609494,-0.15676968,-0.07011936
0.22961959,0.2921956,0.0037502768,0.054325536,-0.15205038,-0.21893501,0.15916592,0.12801257,0.1160483,0.0853238,0.08587088,0.06868706,-0.1611563,-0.013139476,-0.1770317,-0.040327415,-0.041750763,0.21318689,0.004244888,0.16845757,0.36615327,-0.30981997,-0.12846099,0.18717062,-0.15698276,-0.01551338,0.09386212,-0.065709315,-0.10220637,-0.010354002,-0.053580325,0.12911142,0.08423224,-0.15312673,-0.05568732,0.1919571,-0.15137391,-0.058014322,0.080526955,-0.41530132,-0.07930195,0.35358065,0.3548718,-0.20632221,-0.17332771,0.46494323,-0.05392695,-0.19773316,-0.0055620507,0.013213264
-0.059354622,0.02476372,0.041462857,-0.04288214,0.05482105,-0.025252847,-0.05972353,-0.0022147968,-0.002345149,0.068106726,0.06492192,0.009476471,0.03883047,-0.10075586,0.012630491,0.0036571058,-0.037070632,0.029547151,-0.030475179,0.06399782,0.102217935,-0.06247879,-0.016094107,0.028251862,0.04868232,0.04720744,-0.058723636,0.019989524,-0.05380639,-0.09410288,-0.013194165,-0.15330717,0.05565988,0.071423195,-0.007559831,0.10757911,0.024505854,-0.09828721,0.012514259,0.015452809,0.08541823,-0.029820947,0.036069646,0.03515161,0.05139915,0.014614426,0.006938242,0.046947744,0.10786515,-0.10294593
-0.028562646,0.071670175,0.3096598,-0.2857257,-0.17686461,-0.04438784,0.34074906,0.19790192,0.26628244,-0.12929367,0.69886833,-0.108884625,-0.17120852,-0.120845,0.04128066,-0.38777837,-0.1303284,0.16112386,-0.09007808,-0.20860015,-0.0917951,0.35063347,-0.36643705,-0.087038085,0.08351738,-0.31110272,-0.19712077,0.07563618,0.2630254,0.243422,-0.25601286,0.27924445,-0.045274347,0.3411073,-0.06619758,-0.0853336,-0.74695045,-0.15326715,-0.45077047,-0.1569988,0.0128793465,0.38132524,0.67599434,-0.32430273,-0.6254818,-0.16436273,-0.68564487,-0.53116286,-0.38220528,-0.28563875
0.17071342,-0.15495244,-0.32058015,0.38311547,-0.15307012,-0.14150901,0.015448541,0.13705018,0.28162006,0.103822894,-0.08300552,-0.049923085,0.056307636,-0.74385655,-0.003560932,-0.42441192,-0.30634874,0.0081545105,-0.5250385,-0.056232706,0.17349705,-0.41359812,-0.06735743,0.13808936,-0.3910217,-0.14985415,-0.30817387,-0.21316786,0.011419018,-0.25758722,-0.35816136,0.37113383,-0.008969102,-0.35514238,-0.041452773,0.032081753,-0.010306408,0.055424318,-0.33778784,-0.013743161,0.37964028,-0.015853755,-0.12323724,-0.036338847,0.06835507,-0.19978562,0.03431014,-0.16168347,-0.1920475,0.051820233
-0.11463822,0.01680062,0.035106994,-0.010011788,-0.58721536,0.39241776,-0.3108567,0.40114096,-0.9249939,-0.34529448,-0.057302807,-0.57674026,0.04389323,-0.22760697,0.079227604,-0.23724562,-0.5314196,-0.3075557,-0.30698028,-0.35085437,-0.64603937,-0.3326444,-0.19544113,-0.2577986,0.023271546,0.0023016273,-0.19519316,-0.31210417,-0.6342034,-0.40002584,0.15202846,0.33063012,0.24425223,-0.19372183,0.22174665,0.67213047,0.0008072988,0.26111886,0.040539507,-0.10042692,0.40112987,-0.39105162,-0.56094474,0.08418933,-0.5810354,0.31264368,-0.34126592,-0.025043612,-0.32607058,0.46881387
0.218984,0.1393111,0.25100446,-0.08014737,-0.06812753,0.090668306,0.15436672,0.046315573,-0.137632,-0.25623578,0.16865404,-0.413427,0.1183636,-0.12026255,-0.3951739,-0.0767104,-0.11801255,-0.037370887,-0.06828838,0.055416197,0.4343571,0.09151267,-0.11142196,0.21569858,-0.22298717,-0.026514849,-0.07948183,0.13417777,-0.21818201,-0.16739704,-0.10591695,0.09952936,-0.09926138,0.23136216,-0.07689188,0.123682216,-0.12545273,-0.05059825,-0.12346366,-0.13164936,0.06300324,-0.08860131,0.06156395,0.015502779,0.25022325,0.08471433,-0.14142933,0.04397459,-0.17984566,0.122916296
-0.11855901,0.05426548,-0.1332833,0.061322093,0.028326647,0.11702562,0.1610404,-0.1207361,0.0024760999,-0.07236894,0.09425664,0.0495415,-0.0093055405,-0.11725226,-0.0032901953,-0.18164201,0.12899965,0.07763874,-0.033169683,0.043259114,-0.020390145,-0.060622428,-0.076733924,0.093691334,-0.05414665,-0.109308906,0.007368715,-0.17205203,0.11168851,0.18548323,0.13249618,-0.017112423,-0.06455119,0.031611428,0.0278121,0.06380395,0.06617878,-0.03909565,-0.057738304,-0.2136903,0.10404377,0.023708949,0.04714427,-0.010757258,0.013458144,-0.10931557,-0.0032205624,0.031752564,0.101107255,-0.017907148
-0.04947222,-0.012201453,0.105359726,-0.022736978,-0.026581652,-0.0132734105,0.091433614,0.11193295,-0.18811944,-0.037670676,-0.0064090462,-0.06127767,-0.16095209,-0.08486335,-0.21769728,-0.27650657,0.055267848,-0.048739422,-0.042553652,-0.019234633,-0.06411863,-0.16474411,-0.10700259,0.19813442,-0.14399205,0.16982086,0.19338603,0.014277236,-0.18818922,-0.052293036,0.040915288,0.1936841,-0.028589156,-0.043718006,-0.068901375,0.14782225,0.06173747,-0.031194488,-0.1277572,0.02983153,-0.014076483,0.13776107,-0.010841138,0.0065564406,0.17905894,-0.12242394,0.15921673,-0.030188123,-0.067987956,-0.04307717
